fold,train_end,Date,actual_revenue,prediction_raw
fold1_2020H2-2021,2020-06-30,2020-07-01,4785799.65,4843452.692393775
fold1_2020H2-2021,2020-06-30,2020-07-02,4866951.38,3857224.425542753
fold1_2020H2-2021,2020-06-30,2020-07-03,3696972.88,2430808.3048261027
fold1_2020H2-2021,2020-06-30,2020-07-04,706367.78,1374184.0439642195
fold1_2020H2-2021,2020-06-30,2020-07-05,1406074.5,1721534.942898005
fold1_2020H2-2021,2020-06-30,2020-07-06,2077312.99,1530887.4628594676
fold1_2020H2-2021,2020-06-30,2020-07-07,2024009.16,2219284.193342306
fold1_2020H2-2021,2020-06-30,2020-07-08,1848400.71,2278333.9356634966
fold1_2020H2-2021,2020-06-30,2020-07-09,2881762.16,2542722.7651569224
fold1_2020H2-2021,2020-06-30,2020-07-10,2456330.77,2343093.1342546605
fold1_2020H2-2021,2020-06-30,2020-07-11,2777782.43,2435614.8537142826
fold1_2020H2-2021,2020-06-30,2020-07-12,2353469.99,2344156.1566295447
fold1_2020H2-2021,2020-06-30,2020-07-13,2674159.75,2691856.628404566
fold1_2020H2-2021,2020-06-30,2020-07-14,2241406.69,2820348.9359401814
fold1_2020H2-2021,2020-06-30,2020-07-15,2628917.79,3183752.181518714
fold1_2020H2-2021,2020-06-30,2020-07-16,3496916.1,3197453.369492547
fold1_2020H2-2021,2020-06-30,2020-07-17,2963494.21,2578846.8202537624
fold1_2020H2-2021,2020-06-30,2020-07-18,2167217.41,2603600.9796905476
fold1_2020H2-2021,2020-06-30,2020-07-19,2598183.41,2626884.4691485446
fold1_2020H2-2021,2020-06-30,2020-07-20,2378509.49,3058939.718145779
fold1_2020H2-2021,2020-06-30,2020-07-21,3060145.15,3052398.4327320163
fold1_2020H2-2021,2020-06-30,2020-07-22,3102912.51,3554055.4429705665
fold1_2020H2-2021,2020-06-30,2020-07-23,3882974.91,3385668.064881847
fold1_2020H2-2021,2020-06-30,2020-07-24,3897982.79,3000729.839092466
fold1_2020H2-2021,2020-06-30,2020-07-25,2726776.18,2734407.207192546
fold1_2020H2-2021,2020-06-30,2020-07-26,2852671.37,2688752.5238451883
fold1_2020H2-2021,2020-06-30,2020-07-27,2831486.13,3118888.192252346
fold1_2020H2-2021,2020-06-30,2020-07-28,2395619.59,3283578.4923386336
fold1_2020H2-2021,2020-06-30,2020-07-29,3158908.2,4029968.822832946
fold1_2020H2-2021,2020-06-30,2020-07-30,4151632.35,3935539.6029780884
fold1_2020H2-2021,2020-06-30,2020-07-31,5610491.95,4659193.482518296
fold1_2020H2-2021,2020-06-30,2020-08-01,6132541.37,4892265.706023293
fold1_2020H2-2021,2020-06-30,2020-08-02,5345584.67,3867675.95597819
fold1_2020H2-2021,2020-06-30,2020-08-03,4397713.48,3749132.626536938
fold1_2020H2-2021,2020-06-30,2020-08-04,3298352.62,2272198.6388853905
fold1_2020H2-2021,2020-06-30,2020-08-05,2223462.81,2012390.777099306
fold1_2020H2-2021,2020-06-30,2020-08-06,2991469.99,2851641.3424085528
fold1_2020H2-2021,2020-06-30,2020-08-07,3277756.91,2280599.6196004213
fold1_2020H2-2021,2020-06-30,2020-08-08,2449651.51,1611040.155783947
fold1_2020H2-2021,2020-06-30,2020-08-09,2935305.67,1706020.1851972612
fold1_2020H2-2021,2020-06-30,2020-08-10,2914723.92,2148332.7153716455
fold1_2020H2-2021,2020-06-30,2020-08-11,2533038.45,2220023.069575762
fold1_2020H2-2021,2020-06-30,2020-08-12,4245177.97,2519302.6753394674
fold1_2020H2-2021,2020-06-30,2020-08-13,3438121.83,2980560.0274610636
fold1_2020H2-2021,2020-06-30,2020-08-14,3685522.51,2830817.7595535894
fold1_2020H2-2021,2020-06-30,2020-08-15,2556409.43,2243224.9601057977
fold1_2020H2-2021,2020-06-30,2020-08-16,2596444.46,2314255.599903269
fold1_2020H2-2021,2020-06-30,2020-08-17,3646382.12,2243083.452198766
fold1_2020H2-2021,2020-06-30,2020-08-18,3240488.83,2566925.54384231
fold1_2020H2-2021,2020-06-30,2020-08-19,3279887.27,3312324.9024181953
fold1_2020H2-2021,2020-06-30,2020-08-20,3569013.59,3300702.271969655
fold1_2020H2-2021,2020-06-30,2020-08-21,3939388.46,2879505.708056591
fold1_2020H2-2021,2020-06-30,2020-08-22,2465099.71,2618358.798575782
fold1_2020H2-2021,2020-06-30,2020-08-23,2832425.22,2171504.624024114
fold1_2020H2-2021,2020-06-30,2020-08-24,3217603.07,2215554.8463478233
fold1_2020H2-2021,2020-06-30,2020-08-25,2428315.18,2218210.03452024
fold1_2020H2-2021,2020-06-30,2020-08-26,3194953.82,3461067.6903347285
fold1_2020H2-2021,2020-06-30,2020-08-27,4445347.68,3935681.7709259605
fold1_2020H2-2021,2020-06-30,2020-08-28,7296538.72,4793427.697825042
fold1_2020H2-2021,2020-06-30,2020-08-29,7517051.79,4233976.691903245
fold1_2020H2-2021,2020-06-30,2020-08-30,8480394.59,5133723.809850206
fold1_2020H2-2021,2020-06-30,2020-08-31,7490849.71,5414946.833751707
fold1_2020H2-2021,2020-06-30,2020-09-01,6047477.92,2663121.4303179975
fold1_2020H2-2021,2020-06-30,2020-09-02,1434923.77,1445321.9854129355
fold1_2020H2-2021,2020-06-30,2020-09-03,1557705.54,1106615.2313332926
fold1_2020H2-2021,2020-06-30,2020-09-04,1425115.38,1456265.623692168
fold1_2020H2-2021,2020-06-30,2020-09-05,1581867.47,1895053.4367718897
fold1_2020H2-2021,2020-06-30,2020-09-06,2654105.11,1760138.1778590386
fold1_2020H2-2021,2020-06-30,2020-09-07,2479133.84,2176128.9284666213
fold1_2020H2-2021,2020-06-30,2020-09-08,2542645.13,2237704.6040637456
fold1_2020H2-2021,2020-06-30,2020-09-09,1979410.07,2199575.1324492604
fold1_2020H2-2021,2020-06-30,2020-09-10,3146008.14,2156155.2295474047
fold1_2020H2-2021,2020-06-30,2020-09-11,1990335.39,1989126.164112038
fold1_2020H2-2021,2020-06-30,2020-09-12,2806228.3,2409944.878710783
fold1_2020H2-2021,2020-06-30,2020-09-13,2240095.92,2594860.4279029737
fold1_2020H2-2021,2020-06-30,2020-09-14,2832905.03,2594555.8992251614
fold1_2020H2-2021,2020-06-30,2020-09-15,2914536.51,2391402.4009381337
fold1_2020H2-2021,2020-06-30,2020-09-16,1994638.41,2190602.0267283903
fold1_2020H2-2021,2020-06-30,2020-09-17,1827659.24,2195444.7004539585
fold1_2020H2-2021,2020-06-30,2020-09-18,2600220.08,2310806.862598664
fold1_2020H2-2021,2020-06-30,2020-09-19,1806587.98,2218814.532771988
fold1_2020H2-2021,2020-06-30,2020-09-20,2334885.81,2405285.695464011
fold1_2020H2-2021,2020-06-30,2020-09-21,3082015.84,3028181.044087025
fold1_2020H2-2021,2020-06-30,2020-09-22,2827707.7,2336583.9187337183
fold1_2020H2-2021,2020-06-30,2020-09-23,2254030.17,2499697.353810319
fold1_2020H2-2021,2020-06-30,2020-09-24,2021614.99,2514811.689542967
fold1_2020H2-2021,2020-06-30,2020-09-25,2587034.31,2460432.430951515
fold1_2020H2-2021,2020-06-30,2020-09-26,2219447.23,3341268.8579286477
fold1_2020H2-2021,2020-06-30,2020-09-27,3907778.93,3812507.5429741074
fold1_2020H2-2021,2020-06-30,2020-09-28,4681424.38,3767151.5803658096
fold1_2020H2-2021,2020-06-30,2020-09-29,3862957.51,3295446.5513632786
fold1_2020H2-2021,2020-06-30,2020-09-30,3185317.6,2899624.0726412227
fold1_2020H2-2021,2020-06-30,2020-10-01,2053948.94,1533346.97158564
fold1_2020H2-2021,2020-06-30,2020-10-02,844947.12,1236496.1162696143
fold1_2020H2-2021,2020-06-30,2020-10-03,1819620.17,1336312.954976743
